id,type,name,url
1,company,Kam_Air,http://dbpedia.org/resource/Kam_Air
2,company,Balkh_Airlines,http://dbpedia.org/resource/Balkh_Airlines
3,company,Khyber_Afghan_Airlines,http://dbpedia.org/resource/Khyber_Afghan_Airlines
4,company,MarcoPolo_Airways,http://dbpedia.org/resource/MarcoPolo_Airways
5,company,Pamir_Airways,http://dbpedia.org/resource/Pamir_Airways
6,company,Bakhtar_Afghan_Airlines,http://dbpedia.org/resource/Bakhtar_Afghan_Airlines
7,company,Safi_Airways,http://dbpedia.org/resource/Safi_Airways
8,company,Air_Algérie,http://dbpedia.org/resource/Air_Algérie
9,company,Khalifa_Airways,http://dbpedia.org/resource/Khalifa_Airways
10,company,Tassili_Airlines,http://dbpedia.org/resource/Tassili_Airlines
11,company,Antinea_Airlines,http://dbpedia.org/resource/Antinea_Airlines
12,company,Star_Aviation,http://dbpedia.org/resource/Star_Aviation
13,company,TAAG_Angola_Airlines,http://dbpedia.org/resource/TAAG_Angola_Airlines
14,company,Aero_Tropical,http://dbpedia.org/resource/Aero_Tropical
15,company,Angola_Air_Charter,http://dbpedia.org/resource/Angola_Air_Charter
16,company,Alada,http://dbpedia.org/resource/Alada
17,company,Air_Gemini,http://dbpedia.org/resource/Air_Gemini
18,company,Aeronáutica_(Angola),http://dbpedia.org/resource/Aeronáutica_(Angola)
19,company,Diexim_Expresso,http://dbpedia.org/resource/Diexim_Expresso
20,company,SonAir,http://dbpedia.org/resource/SonAir
21,company,Air_26,http://dbpedia.org/resource/Air_26
22,company,Aerolíneas_Argentinas,http://dbpedia.org/resource/Aerolíneas_Argentinas
23,company,Austral_Líneas_Aéreas,http://dbpedia.org/resource/Austral_Líneas_Aéreas
24,company,Líneas_Aéreas_Privadas_Argentinas,http://dbpedia.org/resource/Líneas_Aéreas_Privadas_Argentinas
25,company,Aero_VIP_(Argentina),http://dbpedia.org/resource/Aero_VIP_(Argentina)
26,company,CATA_Línea_Aérea,http://dbpedia.org/resource/CATA_Línea_Aérea
27,company,LADE,http://dbpedia.org/resource/LADE
28,company,Líneas_Aéreas_Federales,http://dbpedia.org/resource/Líneas_Aéreas_Federales
29,company,LAN_Argentina,http://dbpedia.org/resource/LAN_Argentina
30,company,Sol_Líneas_Aéreas,http://dbpedia.org/resource/Sol_Líneas_Aéreas
