start_id,start_vertex_type,end_id,end_vertex_type,creationDate
4398046511226,Person,274877907633,Comment,1284474930377
4398046511317,Person,274877907633,Comment,1284282619290
4398046511334,Person,274877907633,Comment,1284224692794
6597069766709,Person,274877907633,Comment,1284231620623
8796093022391,Person,274877907633,Comment,1284779611320
144,Person,68719478401,Comment,1269973906897
229,Person,68719478401,Comment,1269984806390
2199023255581,Person,68719478401,Comment,1272525174697
2199023255747,Person,68719478401,Comment,1269922910810
2199023255754,Person,68719478401,Comment,1271132170105
2199023255768,Person,68719478401,Comment,1270370081809
4398046511106,Person,68719478401,Comment,1278572508931
4398046511114,Person,68719478401,Comment,1279248918946
4398046511147,Person,68719478401,Comment,1278243039593
4398046511269,Person,68719478401,Comment,1274611008351
4398046511317,Person,68719478401,Comment,1277403135139
4398046511322,Person,68719478401,Comment,1276226407471
6597069766673,Person,68719478401,Comment,1279493985608
6597069766709,Person,68719478401,Comment,1280813807496
8796093022349,Person,68719478401,Comment,1285065206990
10995116277993,Person,68719478401,Comment,1289789663654
8796093022349,Person,68719478414,Comment,1284812761752
2199023255713,Person,274877909141,Comment,1287462697121
2199023255714,Person,274877909141,Comment,1287488072170
2199023255731,Person,274877909141,Comment,1287594640808
4398046511107,Person,274877909141,Comment,1287553594274
4398046511114,Person,274877909141,Comment,1287424915145
4398046511221,Person,274877909141,Comment,1287887857955
42,Person,274877909181,Comment,1285022511268
74,Person,274877909181,Comment,1284666664303
95,Person,274877909181,Comment,1284977293304
137,Person,274877909181,Comment,1284770323834
144,Person,274877909181,Comment,1284758157510
151,Person,274877909181,Comment,1284611892220
2199023255617,Person,274877909181,Comment,1284789332303
2199023255634,Person,274877909181,Comment,1284714305162
2199023255713,Person,274877909181,Comment,1284636942500
2199023255714,Person,274877909181,Comment,1284670935615
2199023255731,Person,274877909181,Comment,1284644658643
4398046511107,Person,274877909181,Comment,1284828459379
4398046511114,Person,274877909181,Comment,1284775058277
4398046511221,Person,274877909181,Comment,1284762923741
4398046511240,Person,274877909181,Comment,1284678868320
4398046511298,Person,274877909181,Comment,1284931302744
4398046511328,Person,274877909181,Comment,1284710131047
4398046511334,Person,274877909181,Comment,1284749653379
4398046511352,Person,274877909181,Comment,1284677820632
6597069766657,Person,274877909181,Comment,1284618904920
