start_id,start_vertex_type,end_id,end_vertex_type,joinDate
274877906945,Forum,151,Person,1284873947521
274877906945,Forum,2199023255630,Person,1286115880405
274877906945,Forum,6597069766661,Person,1285058326513
274877906945,Forum,6597069766787,Person,1286845504693
343597383682,Forum,2199023255630,Person,1289728119223
343597383682,Forum,6597069766661,Person,1289656715739
137438953478,Forum,4398046511326,Person,1278777902244
137438953478,Forum,6597069766770,Person,1280169328754
137438953478,Forum,6597069766795,Person,1282684728728
137438953478,Forum,6597069766862,Person,1282718620491
137438953478,Forum,8796093022233,Person,1288005064276
137438953478,Forum,8796093022405,Person,1285751138780
206158430215,Forum,74,Person,1281339968326
206158430215,Forum,137,Person,1281107253207
206158430215,Forum,2199023255768,Person,1280934267302
206158430215,Forum,4398046511110,Person,1279647468551
206158430215,Forum,4398046511114,Person,1281695347765
206158430215,Forum,6597069766661,Person,1282648950166
206158430215,Forum,6597069766776,Person,1281669869209
206158430215,Forum,10995116277795,Person,1290112832743
68719476744,Forum,74,Person,1271783482888
68719476744,Forum,154,Person,1271996801675
68719476744,Forum,2199023255690,Person,1270294225339
68719476744,Forum,4398046511147,Person,1277035136396
68719476744,Forum,4398046511221,Person,1278611245632
68719476744,Forum,4398046511334,Person,1277697930776
68719476744,Forum,6597069766661,Person,1281782698946
68719476744,Forum,6597069766754,Person,1283911264722
68719476744,Forum,6597069766776,Person,1283012901202
68719476744,Forum,8796093022249,Person,1284415393392
68719476744,Forum,8796093022358,Person,1287547515016
206158430217,Forum,74,Person,1288262643251
206158430217,Forum,4398046511221,Person,1284150687688
206158430217,Forum,4398046511334,Person,1287889538375
206158430217,Forum,6597069766661,Person,1289084091034
206158430217,Forum,6597069766776,Person,1289946756138
206158430217,Forum,8796093022249,Person,1285907348832
68719476746,Forum,74,Person,1288185067870
68719476746,Forum,2199023255690,Person,1275434378163
68719476746,Forum,4398046511147,Person,1279173501861
68719476746,Forum,4398046511334,Person,1278585682881
68719476746,Forum,8796093022249,Person,1288636739212
137438953483,Forum,154,Person,1286028496511
137438953483,Forum,2199023255690,Person,1273859867979
137438953483,Forum,4398046511334,Person,1283374289675
137438953483,Forum,6597069766776,Person,1283493976798
137438953484,Forum,154,Person,1282975052566
137438953484,Forum,2199023255690,Person,1288623704905
137438953484,Forum,4398046511147,Person,1281453904585
137438953484,Forum,4398046511221,Person,1283903154043
137438953484,Forum,4398046511334,Person,1286299369324
137438953484,Forum,6597069766776,Person,1287743464999
137438953484,Forum,8796093022358,Person,1288405538459
68719476749,Forum,74,Person,1278293694962
68719476749,Forum,154,Person,1283791704605
68719476749,Forum,4398046511221,Person,1279853972424
68719476749,Forum,4398046511334,Person,1284981782492
68719476749,Forum,6597069766754,Person,1286502796253
68719476749,Forum,6597069766776,Person,1286216273100
68719476749,Forum,8796093022249,Person,1289786410103
206158430222,Forum,74,Person,1283164546471
206158430222,Forum,154,Person,1288543000495
206158430222,Forum,4398046511221,Person,1287321665501
206158430222,Forum,6597069766661,Person,1289592943705
206158430222,Forum,6597069766754,Person,1286613093304
206158430222,Forum,6597069766776,Person,1283549704221
206158430222,Forum,8796093022249,Person,1286216279240
274877906959,Forum,4398046511147,Person,1290062946108
274877906959,Forum,4398046511221,Person,1289298565635
274877906959,Forum,4398046511334,Person,1286625504276
274877906959,Forum,6597069766754,Person,1290128958981
274877906960,Forum,4398046511147,Person,1288407138823
274877906960,Forum,4398046511221,Person,1289875593044
274877906960,Forum,6597069766661,Person,1290655490211
274877906960,Forum,6597069766776,Person,1289753971637
274877906960,Forum,8796093022249,Person,1287923260273
206158430225,Forum,154,Person,1286936101407
206158430225,Forum,2199023255690,Person,1281002619438
206158430225,Forum,4398046511147,Person,1281434013556
206158430225,Forum,8796093022249,Person,1284842622776
137438953501,Forum,247,Person,1275260195693
137438953501,Forum,2199023255630,Person,1274737155457
